hash,split,image_id,filename,duplicate_count
031d2c16f5a73454664ecfabc4c5ff70,all,5021,img_005021.jpg,2
031d2c16f5a73454664ecfabc4c5ff70,all,5318,img_005318.jpg,2
336d29664b3e621c2576c3c9dd9b1a9b,all,5022,img_005022.jpg,2
336d29664b3e621c2576c3c9dd9b1a9b,all,5319,img_005319.jpg,2
c9840a3149363abebab0d0eec065f4c2,all,5023,img_005023.jpg,2
c9840a3149363abebab0d0eec065f4c2,all,5320,img_005320.jpg,2
e7ef25b734be9b8e30ce4ca04fafd677,all,5024,img_005024.jpg,2
e7ef25b734be9b8e30ce4ca04fafd677,all,5321,img_005321.jpg,2
8cd56bd9c4a920a5a32aca858d580618,all,5025,img_005025.jpg,2
8cd56bd9c4a920a5a32aca858d580618,all,5322,img_005322.jpg,2
dc2872463b9ec0fc091f7ff93f496eef,all,5026,img_005026.jpg,2
dc2872463b9ec0fc091f7ff93f496eef,all,5323,img_005323.jpg,2
bbc25462204fed46f90fa486e99ce406,all,5027,img_005027.jpg,6
bbc25462204fed46f90fa486e99ce406,all,5046,img_005046.jpg,6
bbc25462204fed46f90fa486e99ce406,all,5072,img_005072.jpg,6
bbc25462204fed46f90fa486e99ce406,all,5324,img_005324.jpg,6
bbc25462204fed46f90fa486e99ce406,all,5343,img_005343.jpg,6
bbc25462204fed46f90fa486e99ce406,all,5369,img_005369.jpg,6
ba3cffa5d9e6078907517d50ad5700ab,all,5028,img_005028.jpg,2
ba3cffa5d9e6078907517d50ad5700ab,all,5325,img_005325.jpg,2
f63bf4acf9067e8b5b0ec75829b9be4e,all,5029,img_005029.jpg,2
f63bf4acf9067e8b5b0ec75829b9be4e,all,5326,img_005326.jpg,2
8650d7e8d6f9d672b638301f8a7fd050,all,5030,img_005030.jpg,2
8650d7e8d6f9d672b638301f8a7fd050,all,5327,img_005327.jpg,2
3f1cc1425a10fa29f022ef4acc705ff1,all,5031,img_005031.jpg,2
3f1cc1425a10fa29f022ef4acc705ff1,all,5328,img_005328.jpg,2
bc015b1126bfb590ab2fc20659fc89f0,all,5032,img_005032.jpg,2
bc015b1126bfb590ab2fc20659fc89f0,all,5329,img_005329.jpg,2
36050380f2ede5b4bb6879041b4401ba,all,5033,img_005033.jpg,2
36050380f2ede5b4bb6879041b4401ba,all,5330,img_005330.jpg,2
cba8429b25fa1e8e7c63942ac696e534,all,5034,img_005034.jpg,2
cba8429b25fa1e8e7c63942ac696e534,all,5331,img_005331.jpg,2
27213f715315d5871010b66a7e388033,all,5035,img_005035.jpg,2
27213f715315d5871010b66a7e388033,all,5332,img_005332.jpg,2
74b50c93f211f34573c414d68d368e6f,all,5036,img_005036.jpg,2
74b50c93f211f34573c414d68d368e6f,all,5333,img_005333.jpg,2
09fb19d7cb889ff893f306357c3e86b7,all,5037,img_005037.jpg,2
09fb19d7cb889ff893f306357c3e86b7,all,5334,img_005334.jpg,2
ffa5fe5324dda59f8d79b639d9722ab6,all,5038,img_005038.jpg,2
ffa5fe5324dda59f8d79b639d9722ab6,all,5335,img_005335.jpg,2
b9f71cc166c78b76ce54632847c45894,all,5039,img_005039.jpg,2
b9f71cc166c78b76ce54632847c45894,all,5336,img_005336.jpg,2
